n,gram,base_gram_mean_count,found_gram_count,manual_q1_q3,manual_median,found_prob,diff_from_iqr
1,PH,81.083333,18,0.023649–0.026847,0.024366,0.041096,0.014249
1,SN,501.666667,61,0.140201–0.165082,0.156175,0.139269,0.000932
1,SE,502.000000,61,0.139776–0.164834,0.156799,0.139269,0.000507
1,WR,1005.083333,136,0.302592–0.311094,0.304542,0.310502,0.000000
1,D,544.666667,77,0.157376–0.179503,0.166093,0.175799,0.000000
1,LD,498.250000,61,0.138180–0.164757,0.152400,0.139269,0.000000
1,E,63.583333,12,0.007677–0.033214,0.012399,0.027397,0.000000
1,N,62.833333,9,0.003707–0.032279,0.012948,0.020548,0.000000
1,LM,20.000000,3,0.004516–0.007068,0.005899,0.006849,0.000000
1,EM,1.500000,0,0.000000–0.000083,0.000000,0.000000,0.000000
